Page,Pageviews,Unique Pageviews,,,,20090102-20150201
/plaques/431,419,293,69.93%,,,
/plaques/8398,419,356,84.96%,,,
/plaques/4342,416,318,76.44%,,,
/plaques/5492,416,310,74.52%,,,
/plaques/662,416,334,80.29%,,,
/plaques/2025,414,329,79.47%,,,
/plaques/8484,414,271,65.46%,,,
/plaques/8677,414,321,77.54%,,,
/plaques/604,411,310,75.43%,,,
/plaques/70,405,348,85.93%,,,
/plaques/7880,405,326,80.49%,,,
/plaques/5524,403,304,75.43%,,,
/plaques/785,403,304,75.43%,,,
/plaques/258,397,323,81.36%,,,
/plaques/1175,392,301,76.79%,,,
/plaques/2000,389,255,65.55%,,,
/plaques/213,389,293,75.32%,,,
/plaques/10728,386,342,88.60%,,,
/plaques/3270,386,329,85.23%,,,
/plaques/990,384,323,84.11%,,,
/plaques/2718,381,318,83.46%,,,
/plaques/1897,378,293,77.51%,,,
/plaques/1534,375,252,67.20%,,,
/plaques/1901,375,290,77.33%,,,
/plaques/5408,375,304,81.07%,,,
/plaques/753,375,247,65.87%,,,
/plaques/773,375,249,66.40%,,,
/plaques/1855,373,296,79.36%,,,
/plaques/305,373,247,66.22%,,,
/plaques/324,373,293,78.55%,,,
/plaques/373,373,329,88.20%,,,
/plaques/5954,373,263,70.51%,,,
/plaques/95,373,288,77.21%,,,
/plaques/9846,373,293,78.55%,,,
/plaques/1832,370,277,74.86%,,,
/plaques/2389,370,288,77.84%,,,
/plaques/1276,367,279,76.02%,,,
/plaques/5184,367,307,83.65%,,,
/plaques/63,367,285,77.66%,,,
/plaques/4708,364,293,80.49%,,,
/plaques/664,364,299,82.14%,,,
/plaques/409,362,290,80.11%,,,
/plaques/433,362,288,79.56%,,,
/plaques/5976,362,299,82.60%,,,
/plaques/6302,362,260,71.82%,,,
/plaques/1404,359,312,86.91%,,,
/plaques/550,359,268,74.65%,,,
/plaques/7829,359,241,67.13%,,,
/plaques/10106,356,268,75.28%,,,
/plaques/1189,356,211,59.27%,,,
/plaques/28223,356,279,78.37%,,,
/plaques/3021,356,268,75.28%,,,
/plaques/4296,356,310,87.08%,,,
/plaques/4476,356,304,85.39%,,,
/plaques/570,356,274,76.97%,,,
/plaques/8589,356,296,83.15%,,,
/plaques/1299,353,274,77.62%,,,
/plaques/132,353,255,72.24%,,,
/plaques/1520,353,263,74.50%,,,
/plaques/1544,353,271,76.77%,,,
/plaques/5526,353,268,75.92%,,,
/plaques/1538,351,271,77.21%,,,
/plaques/8235,351,249,70.94%,,,
/plaques/1557,348,203,58.33%,,,
/plaques/2003,348,268,77.01%,,,
/plaques/2053,348,260,74.71%,,,
/plaques/3878,348,293,84.20%,,,
/plaques/434,348,274,78.74%,,,
/plaques/7775,348,266,76.44%,,,
/plaques/3474,345,268,77.68%,,,
/plaques/4352,345,266,77.10%,,,
/plaques/9970,345,260,75.36%,,,
/plaques/1992,342,285,83.33%,,,
/plaques/472,342,299,87.43%,,,
/plaques/1609,340,214,62.94%,,,
/plaques/335,340,263,77.35%,,,
/plaques/4750,340,277,81.47%,,,
/plaques/5210,340,290,85.29%,,,
/plaques/1857,337,288,85.46%,,,
/plaques/318,337,255,75.67%,,,
/plaques/4418,337,271,80.42%,,,
/plaques/599,337,307,91.10%,,,
/plaques/9278,337,249,73.89%,,,
/plaques/1289,334,296,88.62%,,,
/plaques/4452,334,260,77.84%,,,
/plaques/571,334,260,77.84%,,,
/plaques/3,331,225,67.98%,,,
/plaques/313,331,255,77.04%,,,
/plaques/4236,331,274,82.78%,,,
/plaques/951,331,260,78.55%,,,
/plaques/10389,329,282,85.71%,,,
/plaques/1135,329,255,77.51%,,,
/plaques/3738,329,258,78.42%,,,
/plaques/681,326,260,79.75%,,,
/plaques/105,323,277,85.76%,,,
/plaques/12,323,277,85.76%,,,
/plaques/2140,323,274,84.83%,,,
/plaques/4206,323,255,78.95%,,,
/plaques/1191,321,258,80.37%,,,
/plaques/283,321,271,84.42%,,,
/plaques/545,321,233,72.59%,,,
/plaques/8183,321,255,79.44%,,,
/plaques/1913,318,104,32.70%,,,
/plaques/209,318,260,81.76%,,,
/plaques/2549,318,255,80.19%,,,
/plaques/7441,318,252,79.25%,,,
/plaques/1939,315,219,69.52%,,,
/plaques/7387,315,266,84.44%,,,
/plaques/8236,315,238,75.56%,,,
/plaques/8792,315,247,78.41%,,,
/plaques/975,315,205,65.08%,,,
/plaques/10366,312,274,87.82%,,,
/plaques/4730,312,230,73.72%,,,
/plaques/7953,312,227,72.76%,,,
/plaques/1856,310,247,79.68%,,,
/plaques/1911,310,255,82.26%,,,
/plaques/3061,310,238,76.77%,,,
/plaques/4448,310,178,57.42%,,,
/plaques/6764,310,260,83.87%,,,
/plaques/12819,307,258,84.04%,,,
/plaques/4192,307,252,82.08%,,,
/plaques/444,307,247,80.46%,,,
/plaques/96,307,252,82.08%,,,
/plaques/1116,304,238,78.29%,,,
/plaques/1895,304,219,72.04%,,,
/plaques/2002,304,214,70.39%,,,
/plaques/4760,304,216,71.05%,,,
/plaques/5220,304,238,78.29%,,,
/plaques/5494,304,258,84.87%,,,
/plaques/1412,301,268,89.04%,,,
/plaques/1140,299,247,82.61%,,,
/plaques/136,299,252,84.28%,,,
/plaques/1545,299,233,77.93%,,,
/plaques/1756,299,236,78.93%,,,
/plaques/3288,299,247,82.61%,,,
/plaques/1179,296,244,82.43%,,,
/plaques/147,296,236,79.73%,,,
/plaques/193,296,258,87.16%,,,
/plaques/4890,296,268,90.54%,,,
/plaques/79,296,260,87.84%,,,
/plaques/9183,296,222,75.00%,,,
/plaques/9670,296,197,66.55%,,,
/plaques/1089,293,200,68.26%,,,
/plaques/1247,293,216,73.72%,,,
/plaques/1904,293,216,73.72%,,,
/plaques/4134,293,233,79.52%,,,
/plaques/3648,290,205,70.69%,,,
/plaques/393,290,222,76.55%,,,
/plaques/8788,290,219,75.52%,,,
/plaques/100,288,216,75.00%,,,
/plaques/10030,288,252,87.50%,,,
/plaques/10782,288,241,83.68%,,,
/plaques/1246,288,236,81.94%,,,
/plaques/1954,288,197,68.40%,,,
/plaques/4064,288,241,83.68%,,,
/plaques/473,288,244,84.72%,,,
/plaques/520,288,241,83.68%,,,
/plaques/7812,288,238,82.64%,,,
/plaques/8673,288,214,74.31%,,,
/plaques/8682,288,225,78.13%,,,
/plaques/1335,285,230,80.70%,,,
/plaques/2004,285,236,82.81%,,,
/plaques/3272,285,249,87.37%,,,
/plaques/3674,285,244,85.61%,,,
/plaques/489,285,219,76.84%,,,
/plaques/6336,285,205,71.93%,,,
/plaques/8357,285,236,82.81%,,,
/plaques/1636,282,244,86.52%,,,
/plaques/5174,282,214,75.89%,,,
/plaques/2052,279,186,66.67%,,,
/plaques/3494,279,233,83.51%,,,
/plaques/565,279,195,69.89%,,,
/plaques/6634,279,214,76.70%,,,
/plaques/8354,279,214,76.70%,,,
/plaques/9529,279,230,82.44%,,,
/plaques/9285,277,208,75.09%,,,
/plaques/10784,274,181,66.06%,,,
/plaques/2553,274,208,75.91%,,,
/plaques/718,274,225,82.12%,,,
/plaques/7617,274,203,74.09%,,,
/plaques/8620,274,200,72.99%,,,
/plaques/9935,274,205,74.82%,,,
/plaques/1084,271,222,81.92%,,,
/plaques/1117,271,205,75.65%,,,
/plaques/1212,271,236,87.08%,,,
/plaques/1999,271,195,71.96%,,,
/plaques/27,271,189,69.74%,,,
/plaques/3308,271,214,78.97%,,,
/plaques/3486,271,211,77.86%,,,
/plaques/7950,271,189,69.74%,,,
/plaques/98,271,222,81.92%,,,
/plaques/989,271,227,83.76%,,,
/plaques/1158,268,222,82.84%,,,
/plaques/1181,268,192,71.64%,,,
/plaques/1821,268,216,80.60%,,,
/plaques/6678,268,203,75.75%,,,
/plaques/7315,268,195,72.76%,,,
/plaques/519,266,203,76.32%,,,
/plaques/608,266,222,83.46%,,,
/plaques/7789,266,241,90.60%,,,
/plaques/8187,266,219,82.33%,,,
/plaques/1317,263,203,77.19%,,,
/plaques/3690,263,216,82.13%,,,
/plaques/4672,263,230,87.45%,,,
/plaques/517,263,225,85.55%,,,
/plaques/59,263,153,58.17%,,,
/plaques/6632,263,227,86.31%,,,
/plaques/8502,263,186,70.72%,,,
/plaques/1206,260,170,65.38%,,,
/plaques/12398,260,241,92.69%,,,
/plaques/1899,260,184,70.77%,,,
/plaques/211,260,208,80.00%,,,
/plaques/582,260,181,69.62%,,,
/plaques/733,260,192,73.85%,,,
/plaques/8557,260,222,85.38%,,,
/plaques/9002,260,205,78.85%,,,
/plaques/10777,258,186,72.09%,,,
/plaques/1417,258,181,70.16%,,,
/plaques/1829,258,208,80.62%,,,
/plaques/2805,258,195,75.58%,,,
/plaques/36,258,205,79.46%,,,
/plaques/5344,258,236,91.47%,,,
/plaques/607,258,167,64.73%,,,
/plaques/1168,255,219,85.88%,,,
/plaques/2042,255,192,75.29%,,,
/plaques/24,255,192,75.29%,,,
/plaques/338,255,219,85.88%,,,
/plaques/7279,255,219,85.88%,,,
/plaques/743,255,189,74.12%,,,
/plaques/8678,255,170,66.67%,,,
/plaques/10076,252,170,67.46%,,,
/plaques/359,252,236,93.65%,,,
/plaques/4246,252,181,71.83%,,,
/plaques/672,252,225,89.29%,,,
/plaques/7797,252,178,70.63%,,,
/plaques/8337,252,203,80.56%,,,
/plaques/10007,249,200,80.32%,,,
/plaques/10316,249,178,71.49%,,,
/plaques/1427,249,170,68.27%,,,
/plaques/1960,249,219,87.95%,,,
/plaques/377,249,184,73.90%,,,
/plaques/1320,247,222,89.88%,,,
/plaques/2138,247,214,86.64%,,,
/plaques/337,247,203,82.19%,,,
/plaques/3774,247,153,61.94%,,,
/plaques/4780,247,151,61.13%,,,
/plaques/6254,247,175,70.85%,,,
/plaques/7773,247,197,79.76%,,,
/plaques/962,247,211,85.43%,,,
/plaques/11222,244,192,78.69%,,,
/plaques/1197,244,178,72.95%,,,
/plaques/1875,244,208,85.25%,,,
/plaques/1991,244,197,80.74%,,,
/plaques/2218,244,186,76.23%,,,
/plaques/27882,244,186,76.23%,,,
/plaques/2789,244,197,80.74%,,,
/plaques/3484,244,145,59.43%,,,
/plaques/372,244,208,85.25%,,,
/plaques/7261,244,162,66.39%,,,
/plaques/730,244,131,53.69%,,,
/plaques/7581,244,203,83.20%,,,
/plaques/8790,244,195,79.92%,,,
/plaques/9,244,197,80.74%,,,
/plaques/1245,241,186,77.18%,,,
/plaques/1420,241,145,60.17%,,,
/plaques/186,241,181,75.10%,,,
/plaques/350,241,197,81.74%,,,
/plaques/4724,241,184,76.35%,,,
/plaques/7329,241,195,80.91%,,,
/plaques/1130,238,164,68.91%,,,
/plaques/1391,238,148,62.18%,,,
/plaques/143,238,200,84.03%,,,
/plaques/2349,238,203,85.29%,,,
/plaques/49,238,197,82.77%,,,
/plaques/4926,238,175,73.53%,,,
/plaques/8320,238,184,77.31%,,,
/plaques/1804,236,184,77.97%,,,
/plaques/3117,236,192,81.36%,,,
/plaques/3265,236,197,83.47%,,,
/plaques/38,236,181,76.69%,,,
/plaques/5024,236,197,83.47%,,,
/plaques/742,236,195,82.63%,,,
/plaques/810,236,178,75.42%,,,
/plaques/8730,236,214,90.68%,,,
/plaques/1486,233,203,87.12%,,,
/plaques/1533,233,167,71.67%,,,
/plaques/2706,233,192,82.40%,,,
/plaques/2710,233,181,77.68%,,,
/plaques/3298,233,156,66.95%,,,
/plaques/5132,233,181,77.68%,,,
/plaques/7535,233,162,69.53%,,,
/plaques/9832,233,167,71.67%,,,
/plaques/139,230,189,82.17%,,,
/plaques/1436,230,192,83.48%,,,
/plaques/1531,230,178,77.39%,,,
/plaques/1611,230,184,80.00%,,,
/plaques/180,230,178,77.39%,,,
/plaques/3197,230,203,88.26%,,,
/plaques/4298,230,192,83.48%,,,
/plaques/5280,230,184,80.00%,,,
/plaques/5580,230,181,78.70%,,,
/plaques/5698,230,178,77.39%,,,
/plaques/8719,230,170,73.91%,,,
/plaques/119,227,148,65.20%,,,
/plaques/12156,227,123,54.19%,,,
/plaques/1264,227,175,77.09%,,,
/plaques/129,227,162,71.37%,,,
/plaques/1430,227,148,65.20%,,,
/plaques/164,227,192,84.58%,,,
/plaques/1854,227,170,74.89%,,,
/plaques/190,227,195,85.90%,,,
/plaques/241,227,153,67.40%,,,
/plaques/3650,227,184,81.06%,,,
/plaques/4132,227,181,79.74%,,,
/plaques/4322,227,200,88.11%,,,
/plaques/4496,227,200,88.11%,,,
/plaques/4900,227,195,85.90%,,,
/plaques/496,227,195,85.90%,,,
/plaques/509,227,175,77.09%,,,
/plaques/7913,227,178,78.41%,,,
/plaques/8959,227,131,57.71%,,,
/plaques/1068,225,175,77.78%,,,
/plaques/1255,225,153,68.00%,,,
/plaques/1570,225,189,84.00%,,,
/plaques/1836,225,118,52.44%,,,
/plaques/2881,225,181,80.44%,,,
/plaques/505,225,167,74.22%,,,
/plaques/6820,225,184,81.78%,,,
/plaques/1088,222,170,76.58%,,,
/plaques/1124,222,159,71.62%,,,
/plaques/11526,222,145,65.32%,,,
/plaques/12239,222,178,80.18%,,,
/plaques/1429,222,203,91.44%,,,
/plaques/459,222,178,80.18%,,,
/plaques/54,222,164,73.87%,,,
/plaques/6864,222,175,78.83%,,,
/plaques/700,222,173,77.93%,,,
/plaques/835,222,173,77.93%,,,
/plaques/8658,222,184,82.88%,,,
/plaques/8659,222,170,76.58%,,,
/plaques/9902,222,137,61.71%,,,
/plaques/10055,219,121,55.25%,,,
/plaques/1392,219,178,81.28%,,,
/plaques/319,219,170,77.63%,,,
/plaques/3310,219,189,86.30%,,,
/plaques/6636,219,178,81.28%,,,
/plaques/688,219,159,72.60%,,,
/plaques/758,219,159,72.60%,,,
/plaques/1196,216,123,56.94%,,,
/plaques/1434,216,170,78.70%,,,
/plaques/169,216,148,68.52%,,,
/plaques/1757,216,159,73.61%,,,
/plaques/1888,216,153,70.83%,,,
/plaques/3005,216,184,85.19%,,,
/plaques/306,216,173,80.09%,,,
/plaques/3121,216,159,73.61%,,,
/plaques/803,216,153,70.83%,,,
/plaques/823,216,164,75.93%,,,
/plaques/8706,216,178,82.41%,,,
/plaques/1104,214,156,72.90%,,,
/plaques/1277,214,175,81.78%,,,
/plaques/1355,214,153,71.50%,,,
/plaques/15,214,134,62.62%,,,
/plaques/1585,214,123,57.48%,,,
/plaques/2195,214,186,86.92%,,,
/plaques/348,214,126,58.88%,,,
/plaques/3808,214,205,95.79%,,,
/plaques/463,214,156,72.90%,,,
/plaques/490,214,173,80.84%,,,
/plaques/619,214,173,80.84%,,,
/plaques/6500,214,170,79.44%,,,
/plaques/6756,214,153,71.50%,,,
/plaques/7596,214,167,78.04%,,,
/plaques/842,214,173,80.84%,,,
/plaques/10363,211,173,81.99%,,,
/plaques/1352,211,148,70.14%,,,
/plaques/1615,211,140,66.35%,,,
/plaques/172,211,178,84.36%,,,
/plaques/2041,211,164,77.73%,,,
/plaques/254,211,164,77.73%,,,
/plaques/3616,211,181,85.78%,,,
/plaques/424,211,186,88.15%,,,
/plaques/4984,211,153,72.51%,,,
/plaques/7544,211,162,76.78%,,,
/plaques/765,211,173,81.99%,,,
/plaques/8932,211,175,82.94%,,,
/plaques/10057,208,153,73.56%,,,
/plaques/1200,208,153,73.56%,,,
/plaques/1374,208,145,69.71%,,,
/plaques/1489,208,186,89.42%,,,
/plaques/1633,208,186,89.42%,,,
